,studentID,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EDTech_Usage_Level,StressLevel,FinalGrade,RiskLevel,LearningStyle_1,LearningStyle_2,LearningStyle_3
26,STU00021,24,98,0,0,2,1,1,25,5,1,61,95,1,0,0,0,1,0,0
27,STU00022,24,98,0,0,1,1,1,29,3,0,65,46,1,2,3,3,0,0,0
28,STU00023,24,98,0,0,1,1,1,27,0,1,71,83,1,0,1,1,0,0,0
29,STU00024,24,98,0,0,1,1,1,25,5,1,61,95,1,0,0,0,1,0,0
30,STU00025,24,98,1,1,2,1,1,29,3,0,65,46,1,2,3,3,0,0,0
31,STU00026,24,98,1,1,2,1,1,27,0,1,71,83,1,0,1,1,0,0,0
32,STU00027,24,98,1,1,2,1,1,25,5,1,61,95,1,0,0,0,1,0,0
33,STU00028,24,98,0,0,0,0,1,29,3,0,65,46,1,2,3,3,0,0,0
34,STU00029,24,98,0,0,0,0,1,27,0,1,71,83,1,0,1,1,0,0,0
35,STU00030,24,98,0,0,0,0,1,25,5,1,61,95,1,0,0,0,1,0,0
36,STU00031,29,89,1,1,1,1,1,20,17,1,75,54,1,2,3,3,0,0,0
37,STU00032,29,89,1,1,1,1,1,23,4,1,59,42,1,2,3,3,0,1,0
38,STU00033,29,89,1,1,1,1,1,23,1,0,96,62,1,2,2,2,0,0,0
39,STU00034,29,89,0,1,0,1,1,20,17,1,75,54,1,2,3,3,0,0,0
40,STU00035,29,89,0,1,0,1,1,23,4,1,59,42,1,2,3,3,0,1,0
41,STU00036,29,89,0,1,0,1,1,23,1,0,96,62,1,2,2,2,0,0,0
42,STU00037,19,92,1,1,1,1,0,19,12,1,63,40,1,2,3,3,0,0,1
43,STU00038,19,92,1,1,1,1,0,26,3,0,86,94,1,2,0,0,0,1,0
44,STU00039,19,92,2,0,1,1,0,19,12,1,63,40,1,2,3,3,0,0,1
45,STU00040,19,92,2,0,1,1,0,26,3,0,86,94,1,2,0,0,0,1,0
46,STU00041,19,92,2,1,1,1,0,19,12,1,63,40,1,2,3,3,0,0,1
47,STU00042,19,92,2,1,1,1,0,26,3,0,86,94,1,2,0,0,0,1,0
50,STU00043,19,92,1,0,2,1,0,19,12,1,63,40,1,2,3,3,0,0,1
51,STU00044,19,92,1,0,2,1,0,26,3,0,86,94,1,2,0,0,0,1,0
52,STU00045,29,84,0,1,0,1,1,21,10,1,57,48,1,2,3,3,0,1,0
53,STU00046,29,84,0,1,0,1,1,28,14,0,74,60,1,0,2,2,0,1,0
54,STU00047,29,84,1,1,1,1,1,21,10,1,57,48,1,2,3,3,0,1,0
55,STU00048,29,84,1,1,1,1,1,28,14,0,74,60,1,0,2,2,0,1,0
56,STU00049,25,78,2,1,1,1,1,18,17,0,91,58,1,2,2,2,0,1,0
57,STU00050,25,78,0,1,1,1,1,18,17,0,91,58,1,2,2,2,0,1,0
58,STU00051,17,94,2,0,2,1,1,19,3,1,74,92,0,2,0,0,0,0,1
59,STU00052,17,94,1,0,0,1,1,19,3,1,74,92,0,2,0,0,0,0,1
60,STU00053,17,94,1,0,1,1,1,19,3,1,74,92,0,2,0,0,0,0,1
61,STU00054,17,94,1,1,1,1,1,19,3,1,74,92,0,2,0,0,0,0,1
62,STU00055,17,94,0,0,2,1,1,19,3,1,74,92,0,2,0,0,0,0,1
63,STU00056,17,94,0,1,0,1,1,19,3,1,74,92,0,2,0,0,0,0,1
64,STU00057,17,94,2,1,1,1,1,19,3,1,74,92,0,2,0,0,0,0,1
65,STU00058,23,98,1,1,1,1,1,27,5,0,65,58,0,2,2,2,0,1,0
66,STU00059,23,98,1,1,1,1,1,27,4,1,100,93,0,2,0,0,1,0,0
69,STU00060,23,98,0,0,1,1,1,27,5,0,65,58,0,2,2,2,0,1,0
70,STU00061,23,98,0,0,1,1,1,27,4,1,100,93,0,2,0,0,1,0,0
71,STU00062,23,98,2,0,1,1,1,27,5,0,65,58,0,2,2,2,0,1,0
72,STU00063,23,98,2,0,1,1,1,27,4,1,100,93,0,2,0,0,1,0,0
73,STU00064,23,98,2,1,0,1,1,27,5,0,65,58,0,2,2,2,0,1,0
74,STU00065,23,98,2,1,0,1,1,27,4,1,100,93,0,2,0,0,1,0,0
75,STU00066,17,80,2,0,1,0,1,18,13,1,68,73,0,2,1,1,1,0,0
76,STU00067,17,80,2,0,1,0,1,24,11,1,64,69,1,0,2,2,0,0,1
77,STU00068,17,80,2,0,1,0,1,23,7,1,68,87,1,1,0,0,0,0,0
78,STU00069,17,80,2,0,1,0,1,27,12,0,64,88,1,0,0,0,0,0,0
79,STU00070,17,80,2,0,1,0,1,29,0,1,73,78,1,0,1,1,1,0,0
80,STU00071,17,80,1,0,1,1,1,18,13,1,68,73,0,2,1,1,1,0,0
81,STU00072,17,80,1,0,1,1,1,24,11,1,64,69,1,0,2,2,0,0,1
82,STU00073,17,80,1,0,1,1,1,23,7,1,68,87,1,1,0,0,0,0,0
83,STU00074,17,80,1,0,1,1,1,27,12,0,64,88,1,0,0,0,0,0,0
84,STU00075,17,80,1,0,1,1,1,29,0,1,73,78,1,0,1,1,1,0,0
85,STU00076,17,80,2,0,1,1,1,18,13,1,68,73,0,2,1,1,1,0,0
86,STU00077,17,80,2,0,1,1,1,24,11,1,64,69,1,0,2,2,0,0,1
87,STU00078,17,80,2,0,1,1,1,23,7,1,68,87,1,1,0,0,0,0,0
88,STU00079,17,80,2,0,1,1,1,27,12,0,64,88,1,0,0,0,0,0,0
89,STU00080,17,80,2,0,1,1,1,29,0,1,73,78,1,0,1,1,1,0,0
90,STU00081,17,97,2,1,0,1,1,27,9,0,64,87,1,1,0,0,1,0,0
91,STU00082,17,97,2,1,0,1,1,25,20,1,70,82,1,1,1,1,0,1,0
92,STU00083,17,97,1,0,1,1,1,27,9,0,64,87,1,1,0,0,1,0,0
93,STU00084,17,97,1,0,1,1,1,25,20,1,70,82,1,1,1,1,0,1,0
94,STU00085,17,97,2,0,2,1,1,27,9,0,64,87,1,1,0,0,1,0,0
95,STU00086,17,97,2,0,2,1,1,25,20,1,70,82,1,1,1,1,0,1,0
96,STU00087,17,97,2,1,1,0,1,27,9,0,64,87,1,1,0,0,1,0,0
97,STU00088,17,97,2,1,1,0,1,25,20,1,70,82,1,1,1,1,0,1,0
98,STU00089,17,97,2,0,1,1,1,27,9,0,64,87,1,1,0,0,1,0,0
99,STU00090,17,97,2,0,1,1,1,25,20,1,70,82,1,1,1,1,0,1,0
102,STU00091,17,97,0,1,1,1,1,27,9,0,64,87,1,1,0,0,1,0,0
103,STU00092,17,97,0,1,1,1,1,25,20,1,70,82,1,1,1,1,0,1,0
104,STU00093,17,97,1,1,1,1,1,27,9,0,64,87,1,1,0,0,1,0,0
105,STU00094,17,97,1,1,1,1,1,25,20,1,70,82,1,1,1,1,0,1,0
106,STU00095,17,97,0,0,2,0,1,27,9,0,64,87,1,1,0,0,1,0,0
107,STU00096,17,97,0,0,2,0,1,25,20,1,70,82,1,1,1,1,0,1,0
108,STU00097,17,97,1,1,0,1,1,27,9,0,64,87,1,1,0,0,1,0,0
109,STU00098,17,97,1,1,0,1,1,25,20,1,70,82,1,1,1,1,0,1,0
110,STU00099,21,83,1,1,0,1,1,27,1,0,66,86,0,1,0,0,0,1,0
111,STU00100,21,83,1,1,0,1,1,27,7,1,77,96,1,1,0,0,0,0,0
114,STU00101,21,83,1,1,2,1,1,27,1,0,66,86,0,1,0,0,0,1,0
115,STU00102,21,83,1,1,2,1,1,27,7,1,77,96,1,1,0,0,0,0,0
116,STU00103,21,83,0,0,0,1,1,27,1,0,66,86,0,1,0,0,0,1,0
117,STU00104,21,83,0,0,0,1,1,27,7,1,77,96,1,1,0,0,0,0,0
118,STU00105,21,83,0,1,0,1,1,27,1,0,66,86,0,1,0,0,0,1,0
119,STU00106,21,83,0,1,0,1,1,27,7,1,77,96,1,1,0,0,0,0,0
120,STU00107,21,83,2,1,2,1,1,27,1,0,66,86,0,1,0,0,0,1,0
121,STU00108,21,83,2,1,2,1,1,27,7,1,77,96,1,1,0,0,0,0,0
122,STU00109,21,83,2,0,1,1,1,27,1,0,66,86,0,1,0,0,0,1,0
123,STU00110,21,83,2,0,1,1,1,27,7,1,77,96,1,1,0,0,0,0,0
124,STU00111,9,82,1,1,1,1,1,18,17,0,55,40,1,2,3,3,0,0,1
125,STU00112,9,82,1,1,1,1,1,25,13,0,73,46,1,2,3,3,0,0,1
126,STU00113,10,78,2,1,1,1,1,27,5,0,71,68,1,2,2,2,0,1,0
127,STU00114,10,78,2,1,1,1,1,20,17,0,85,78,1,2,1,1,0,0,1
128,STU00115,17,68,1,0,1,1,0,19,0,1,75,42,1,1,3,3,0,0,1
129,STU00116,17,68,1,0,1,1,0,24,4,1,87,64,1,2,2,2,0,1,0
130,STU00117,17,68,1,0,1,1,0,20,19,1,88,49,1,1,3,3,0,0,1
131,STU00118,17,68,1,1,1,1,0,19,0,1,75,42,1,1,3,3,0,0,1
132,STU00119,17,68,1,1,1,1,0,24,4,1,87,64,1,2,2,2,0,1,0
133,STU00120,17,68,1,1,1,1,0,20,19,1,88,49,1,1,3,3,0,0,1
134,STU00121,17,68,1,0,2,1,0,19,0,1,75,42,1,1,3,3,0,0,1
135,STU00122,17,68,1,0,2,1,0,24,4,1,87,64,1,2,2,2,0,1,0
136,STU00123,17,68,1,0,2,1,0,20,19,1,88,49,1,1,3,3,0,0,1
137,STU00124,17,68,2,1,1,1,0,19,0,1,75,42,1,1,3,3,0,0,1
138,STU00125,17,68,2,1,1,1,0,24,4,1,87,64,1,2,2,2,0,1,0
139,STU00126,17,68,2,1,1,1,0,20,19,1,88,49,1,1,3,3,0,0,1
140,STU00127,17,68,0,1,2,1,0,19,0,1,75,42,1,1,3,3,0,0,1
141,STU00128,17,68,0,1,2,1,0,24,4,1,87,64,1,2,2,2,0,1,0
142,STU00129,17,68,0,1,2,1,0,20,19,1,88,49,1,1,3,3,0,0,1
143,STU00130,22,70,1,1,1,1,0,22,1,1,74,40,1,2,3,3,0,0,1
144,STU00131,22,70,1,0,0,1,0,22,1,1,74,40,1,2,3,3,0,0,1
145,STU00132,22,70,2,1,2,1,0,22,1,1,74,40,1,2,3,3,0,0,1
146,STU00133,22,70,1,1,0,1,0,22,1,1,74,40,1,2,3,3,0,0,1
147,STU00134,22,70,2,1,1,1,0,22,1,1,74,40,1,2,3,3,0,0,1
148,STU00135,15,80,1,1,0,1,0,23,2,0,50,56,0,1,2,2,0,1,0
149,STU00136,15,80,1,1,0,1,0,21,7,1,87,89,1,0,0,0,0,1,0
150,STU00137,15,80,1,1,0,1,0,23,13,1,56,75,1,2,1,1,1,0,0
151,STU00138,15,80,2,0,1,1,0,23,2,0,50,56,0,1,2,2,0,1,0
152,STU00139,15,80,2,0,1,1,0,21,7,1,87,89,1,0,0,0,0,1,0
153,STU00140,15,80,2,0,1,1,0,23,13,1,56,75,1,2,1,1,1,0,0
154,STU00141,15,80,0,0,2,1,0,23,2,0,50,56,0,1,2,2,0,1,0
155,STU00142,15,80,0,0,2,1,0,21,7,1,87,89,1,0,0,0,0,1,0
156,STU00143,15,80,0,0,2,1,0,23,13,1,56,75,1,2,1,1,1,0,0
157,STU00144,15,80,1,0,1,1,0,23,2,0,50,56,0,1,2,2,0,1,0
158,STU00145,15,80,1,0,1,1,0,21,7,1,87,89,1,0,0,0,0,1,0
159,STU00146,15,80,1,0,1,1,0,23,13,1,56,75,1,2,1,1,1,0,0
160,STU00147,15,80,1,1,1,1,0,23,2,0,50,56,0,1,2,2,0,1,0
161,STU00148,15,80,1,1,1,1,0,21,7,1,87,89,1,0,0,0,0,1,0
162,STU00149,15,80,1,1,1,1,0,23,13,1,56,75,1,2,1,1,1,0,0
166,STU00150,12,75,2,1,1,1,1,21,16,1,66,71,1,2,1,1,0,0,0
167,STU00151,12,75,2,1,1,1,1,22,20,1,55,48,1,1,3,3,0,1,0
170,STU00152,29,78,1,0,2,1,0,28,2,1,67,91,1,2,0,0,0,0,0
171,STU00153,29,78,2,1,1,1,0,28,2,1,67,91,1,2,0,0,0,0,0
172,STU00154,19,99,2,0,1,1,1,25,13,1,91,56,1,0,2,2,0,0,1
173,STU00155,19,99,1,0,1,1,1,25,13,1,91,56,1,0,2,2,0,0,1
174,STU00156,19,99,2,0,0,1,1,25,13,1,91,56,1,0,2,2,0,0,1
175,STU00157,19,99,2,1,0,1,1,25,13,1,91,56,1,0,2,2,0,0,1
176,STU00158,19,99,0,0,1,1,1,25,13,1,91,56,1,0,2,2,0,0,1
177,STU00159,19,99,1,1,0,1,1,25,13,1,91,56,1,0,2,2,0,0,1
178,STU00160,19,99,1,1,1,1,1,25,13,1,91,56,1,0,2,2,0,0,1
180,STU00161,19,99,0,0,2,1,1,25,13,1,91,56,1,0,2,2,0,0,1
181,STU00162,19,99,2,1,1,1,1,25,13,1,91,56,1,0,2,2,0,0,1
184,STU00163,20,74,2,0,0,1,0,22,3,1,93,97,1,2,0,0,0,0,1
185,STU00164,20,74,2,0,0,1,0,24,20,1,68,67,0,1,2,2,1,0,0
186,STU00165,20,74,2,0,0,1,0,29,13,0,80,65,0,0,2,2,0,0,0
187,STU00166,20,74,1,1,0,1,0,22,3,1,93,97,1,2,0,0,0,0,1
188,STU00167,20,74,1,1,0,1,0,24,20,1,68,67,0,1,2,2,1,0,0
189,STU00168,20,74,1,1,0,1,0,29,13,0,80,65,0,0,2,2,0,0,0
190,STU00169,20,74,2,1,1,0,0,22,3,1,93,97,1,2,0,0,0,0,1
191,STU00170,20,74,2,1,1,0,0,24,20,1,68,67,0,1,2,2,1,0,0
192,STU00171,20,74,2,1,1,0,0,29,13,0,80,65,0,0,2,2,0,0,0
193,STU00172,20,74,1,1,2,1,0,22,3,1,93,97,1,2,0,0,0,0,1
194,STU00173,20,74,1,1,2,1,0,24,20,1,68,67,0,1,2,2,1,0,0
195,STU00174,20,74,1,1,2,1,0,29,13,0,80,65,0,0,2,2,0,0,0
196,STU00175,20,74,0,1,2,1,0,22,3,1,93,97,1,2,0,0,0,0,1
197,STU00176,20,74,0,1,2,1,0,24,20,1,68,67,0,1,2,2,1,0,0
198,STU00177,20,74,0,1,2,1,0,29,13,0,80,65,0,0,2,2,0,0,0
199,STU00178,11,78,1,1,2,1,1,25,4,1,59,77,0,1,1,1,0,1,0
200,STU00179,11,78,1,1,2,1,1,27,15,0,69,77,1,2,1,1,0,0,0
201,STU00180,11,78,1,1,2,1,1,18,13,0,62,90,1,2,0,0,0,0,0
202,STU00181,11,78,1,1,2,1,1,19,3,1,80,98,1,2,0,0,0,1,0
203,STU00182,11,78,1,1,2,1,1,21,8,1,96,83,1,1,1,1,0,0,1
204,STU00183,11,78,2,1,1,1,1,25,4,1,59,77,0,1,1,1,0,1,0
205,STU00184,11,78,2,1,1,1,1,27,15,0,69,77,1,2,1,1,0,0,0
206,STU00185,11,78,2,1,1,1,1,18,13,0,62,90,1,2,0,0,0,0,0
207,STU00186,11,78,2,1,1,1,1,19,3,1,80,98,1,2,0,0,0,1,0
208,STU00187,11,78,2,1,1,1,1,21,8,1,96,83,1,1,1,1,0,0,1
209,STU00188,17,65,2,1,1,1,0,28,12,0,88,72,0,0,1,1,0,1,0
210,STU00189,17,65,2,1,1,1,0,21,16,0,79,58,1,2,2,2,1,0,0
213,STU00190,17,65,0,1,1,1,0,28,12,0,88,72,0,0,1,1,0,1,0
214,STU00191,17,65,0,1,1,1,0,21,16,0,79,58,1,2,2,2,1,0,0
215,STU00192,17,65,1,0,1,1,0,28,12,0,88,72,0,0,1,1,0,1,0
216,STU00193,17,65,1,0,1,1,0,21,16,0,79,58,1,2,2,2,1,0,0
219,STU00194,21,62,0,1,2,1,1,26,9,1,65,46,0,2,3,3,0,1,0
220,STU00195,21,62,0,0,2,1,1,26,9,1,65,46,0,2,3,3,0,1,0
221,STU00196,21,62,1,0,1,1,1,26,9,1,65,46,0,2,3,3,0,1,0
222,STU00197,13,91,1,0,1,1,0,19,7,1,64,63,0,1,2,2,0,0,0
223,STU00198,13,91,1,0,1,1,0,25,12,0,73,77,0,2,1,1,0,0,1
224,STU00199,13,91,1,0,1,1,0,21,13,1,98,100,0,2,0,0,0,0,0
225,STU00200,13,91,1,0,1,1,0,29,3,1,66,90,1,2,0,0,1,0,0
226,STU00201,13,91,1,0,1,1,0,28,11,1,85,46,1,2,3,3,1,0,0
227,STU00202,13,91,1,0,1,1,0,19,18,0,89,61,0,2,2,2,0,1,0
228,STU00203,13,91,1,1,1,1,0,19,7,1,64,63,0,1,2,2,0,0,0
229,STU00204,13,91,1,1,1,1,0,25,12,0,73,77,0,2,1,1,0,0,1
230,STU00205,13,91,1,1,1,1,0,21,13,1,98,100,0,2,0,0,0,0,0
231,STU00206,13,91,1,1,1,1,0,29,3,1,66,90,1,2,0,0,1,0,0
232,STU00207,13,91,1,1,1,1,0,28,11,1,85,46,1,2,3,3,1,0,0
233,STU00208,13,91,1,1,1,1,0,19,18,0,89,61,0,2,2,2,0,1,0
234,STU00209,22,83,2,1,1,1,1,28,11,0,96,75,1,2,1,1,0,1,0
235,STU00210,22,83,1,1,2,1,1,28,11,0,96,75,1,2,1,1,0,1,0
236,STU00211,22,83,1,1,2,0,1,28,11,0,96,75,1,2,1,1,0,1,0
238,STU00212,22,83,0,1,1,1,1,28,11,0,96,75,1,2,1,1,0,1,0
239,STU00213,16,90,1,0,1,1,0,19,0,1,90,52,0,2,3,3,1,0,0
240,STU00214,16,90,1,0,2,0,0,19,0,1,90,52,0,2,3,3,1,0,0
241,STU00215,16,90,2,1,1,1,0,19,0,1,90,52,0,2,3,3,1,0,0
243,STU00216,16,90,2,1,2,1,0,19,0,1,90,52,0,2,3,3,1,0,0
244,STU00217,18,66,2,0,0,1,1,22,3,0,50,73,1,1,1,1,1,0,0
245,STU00218,18,66,2,0,0,1,1,27,11,0,57,60,1,0,2,2,0,1,0
246,STU00219,18,66,1,0,1,1,1,22,3,0,50,73,1,1,1,1,1,0,0
247,STU00220,18,66,1,0,1,1,1,27,11,0,57,60,1,0,2,2,0,1,0
248,STU00221,18,66,2,0,1,1,1,22,3,0,50,73,1,1,1,1,1,0,0
249,STU00222,18,66,2,0,1,1,1,27,11,0,57,60,1,0,2,2,0,1,0
250,STU00223,18,66,2,1,1,1,1,22,3,0,50,73,1,1,1,1,1,0,0
251,STU00224,18,66,2,1,1,1,1,27,11,0,57,60,1,0,2,2,0,1,0
252,STU00225,18,66,1,1,0,0,1,22,3,0,50,73,1,1,1,1,1,0,0
253,STU00226,18,66,1,1,0,0,1,27,11,0,57,60,1,0,2,2,0,1,0
254,STU00227,18,66,2,1,1,0,1,22,3,0,50,73,1,1,1,1,1,0,0
255,STU00228,18,66,2,1,1,0,1,27,11,0,57,60,1,0,2,2,0,1,0
256,STU00229,18,66,1,1,2,1,1,22,3,0,50,73,1,1,1,1,1,0,0
257,STU00230,18,66,1,1,2,1,1,27,11,0,57,60,1,0,2,2,0,1,0
258,STU00231,18,66,1,1,1,1,1,22,3,0,50,73,1,1,1,1,1,0,0
259,STU00232,18,66,1,1,1,1,1,27,11,0,57,60,1,0,2,2,0,1,0
260,STU00233,16,83,1,0,1,1,0,27,12,1,52,66,0,1,2,2,1,0,0
261,STU00234,16,83,1,0,1,1,0,26,0,0,96,56,1,0,2,2,1,0,0
262,STU00235,16,83,2,1,0,1,0,27,12,1,52,66,0,1,2,2,1,0,0
263,STU00236,16,83,2,1,0,1,0,26,0,0,96,56,1,0,2,2,1,0,0
264,STU00237,16,83,1,1,1,1,0,27,12,1,52,66,0,1,2,2,1,0,0
265,STU00238,16,83,1,1,1,1,0,26,0,0,96,56,1,0,2,2,1,0,0
268,STU00239,16,83,1,1,2,1,0,27,12,1,52,66,0,1,2,2,1,0,0
269,STU00240,16,83,1,1,2,1,0,26,0,0,96,56,1,0,2,2,1,0,0
272,STU00241,16,83,1,1,0,1,0,27,12,1,52,66,0,1,2,2,1,0,0
273,STU00242,16,83,1,1,0,1,0,26,0,0,96,56,1,0,2,2,1,0,0
274,STU00243,16,83,1,0,0,1,0,27,12,1,52,66,0,1,2,2,1,0,0
275,STU00244,16,83,1,0,0,1,0,26,0,0,96,56,1,0,2,2,1,0,0
276,STU00245,31,70,2,1,1,1,1,28,1,0,52,71,1,2,1,1,0,1,0
277,STU00246,20,69,1,1,1,1,1,21,3,1,87,79,1,0,1,1,0,0,1
278,STU00247,20,69,1,1,1,1,1,18,9,0,82,97,0,2,0,0,0,0,1
279,STU00248,20,69,2,1,1,1,1,21,3,1,87,79,1,0,1,1,0,0,1
280,STU00249,20,69,2,1,1,1,1,18,9,0,82,97,0,2,0,0,0,0,1
281,STU00250,20,69,2,0,0,1,1,21,3,1,87,79,1,0,1,1,0,0,1
282,STU00251,20,69,2,0,0,1,1,18,9,0,82,97,0,2,0,0,0,0,1
283,STU00252,20,69,1,1,2,1,1,21,3,1,87,79,1,0,1,1,0,0,1
284,STU00253,20,69,1,1,2,1,1,18,9,0,82,97,0,2,0,0,0,0,1
285,STU00254,14,60,1,0,1,1,0,18,6,0,88,52,1,2,3,3,0,0,0
286,STU00255,14,60,0,1,0,1,0,18,6,0,88,52,1,2,3,3,0,0,0
287,STU00256,25,65,1,0,1,1,0,25,0,1,62,51,0,1,3,3,0,0,1
288,STU00257,25,65,1,0,1,1,0,28,12,1,100,55,1,0,2,2,0,0,1
289,STU00258,25,65,2,1,2,1,0,25,0,1,62,51,0,1,3,3,0,0,1
290,STU00259,25,65,2,1,2,1,0,28,12,1,100,55,1,0,2,2,0,0,1
291,STU00260,25,65,0,1,1,1,0,25,0,1,62,51,0,1,3,3,0,0,1
292,STU00261,25,65,0,1,1,1,0,28,12,1,100,55,1,0,2,2,0,0,1
293,STU00262,25,65,1,1,1,1,0,25,0,1,62,51,0,1,3,3,0,0,1
294,STU00263,25,65,1,1,1,1,0,28,12,1,100,55,1,0,2,2,0,0,1
297,STU00264,25,65,2,1,0,0,0,25,0,1,62,51,0,1,3,3,0,0,1
298,STU00265,25,65,2,1,0,0,0,28,12,1,100,55,1,0,2,2,0,0,1
299,STU00266,21,65,0,1,0,1,0,20,1,1,54,54,1,0,3,3,0,0,1
300,STU00267,21,65,0,1,0,1,0,24,2,1,96,78,0,2,1,1,1,0,0
301,STU00268,21,65,2,1,0,0,0,20,1,1,54,54,1,0,3,3,0,0,1
302,STU00269,21,65,2,1,0,0,0,24,2,1,96,78,0,2,1,1,1,0,0
303,STU00270,8,99,1,0,0,1,0,28,9,1,99,97,0,1,0,0,0,1,0
304,STU00271,8,99,1,0,0,1,0,23,4,1,89,54,1,1,3,3,1,0,0
305,STU00272,8,99,1,0,0,1,0,20,6,1,59,91,0,0,0,0,0,0,1
306,STU00273,8,99,2,1,1,1,0,28,9,1,99,97,0,1,0,0,0,1,0
307,STU00274,8,99,2,1,1,1,0,23,4,1,89,54,1,1,3,3,1,0,0
308,STU00275,8,99,2,1,1,1,0,20,6,1,59,91,0,0,0,0,0,0,1
309,STU00276,12,72,1,1,1,1,0,28,15,1,58,100,0,1,0,0,1,0,0
310,STU00277,12,72,1,1,1,1,0,26,20,1,51,42,1,2,3,3,0,1,0
311,STU00278,12,72,1,1,1,1,0,29,5,0,61,73,1,1,1,1,1,0,0
312,STU00279,12,72,0,1,2,1,0,28,15,1,58,100,0,1,0,0,1,0,0
313,STU00280,12,72,0,1,2,1,0,26,20,1,51,42,1,2,3,3,0,1,0
314,STU00281,12,72,0,1,2,1,0,29,5,0,61,73,1,1,1,1,1,0,0
315,STU00282,12,72,1,0,2,1,0,28,15,1,58,100,0,1,0,0,1,0,0
316,STU00283,12,72,1,0,2,1,0,26,20,1,51,42,1,2,3,3,0,1,0
317,STU00284,12,72,1,0,2,1,0,29,5,0,61,73,1,1,1,1,1,0,0
321,STU00285,12,72,1,0,0,1,0,28,15,1,58,100,0,1,0,0,1,0,0
322,STU00286,12,72,1,0,0,1,0,26,20,1,51,42,1,2,3,3,0,1,0
323,STU00287,12,72,1,0,0,1,0,29,5,0,61,73,1,1,1,1,1,0,0
324,STU00288,21,65,1,1,0,1,1,21,0,0,93,95,1,1,0,0,0,0,0
325,STU00289,21,65,0,1,2,0,1,21,0,0,93,95,1,1,0,0,0,0,0
326,STU00290,21,65,1,0,2,1,1,21,0,0,93,95,1,1,0,0,0,0,0
327,STU00291,21,65,2,0,0,1,1,21,0,0,93,95,1,1,0,0,0,0,0
328,STU00292,21,65,1,1,1,1,1,21,0,0,93,95,1,1,0,0,0,0,0
329,STU00293,21,65,1,0,1,1,1,21,0,0,93,95,1,1,0,0,0,0,0
330,STU00294,21,65,2,1,2,1,1,21,0,0,93,95,1,1,0,0,0,0,0
331,STU00295,21,65,2,0,1,1,1,21,0,0,93,95,1,1,0,0,0,0,0
332,STU00296,24,68,1,0,0,1,1,29,13,1,78,61,1,1,2,2,0,1,0
333,STU00297,24,68,1,0,1,1,1,29,13,1,78,61,1,1,2,2,0,1,0
334,STU00298,24,68,1,1,2,1,1,29,13,1,78,61,1,1,2,2,0,1,0
335,STU00299,24,68,1,1,0,1,1,29,13,1,78,61,1,1,2,2,0,1,0
336,STU00300,24,68,2,1,0,1,1,29,13,1,78,61,1,1,2,2,0,1,0
337,STU00301,24,68,1,1,1,1,1,29,13,1,78,61,1,1,2,2,0,1,0
338,STU00302,24,68,1,1,1,0,1,29,13,1,78,61,1,1,2,2,0,1,0
339,STU00303,24,68,0,1,0,1,1,29,13,1,78,61,1,1,2,2,0,1,0
340,STU00304,21,84,1,1,0,1,0,23,11,0,79,56,1,2,2,2,0,0,0
341,STU00305,21,84,0,0,0,1,0,23,11,0,79,56,1,2,2,2,0,0,0
